Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.3612,Sun Apr 08 21:31:03 +0000 2018,0.872,0.0,0.128,83
0.0,Sun Apr 08 21:30:00 +0000 2018,1.0,0.0,0.0,84
-0.9538,Sun Apr 08 21:27:28 +0000 2018,0.536,0.464,0.0,85
0.4939,Sun Apr 08 21:23:34 +0000 2018,0.873,0.0,0.127,86
0.0,Sun Apr 08 21:18:51 +0000 2018,1.0,0.0,0.0,87
-0.2023,Sun Apr 08 21:18:37 +0000 2018,0.878,0.122,0.0,88
0.0,Sun Apr 08 21:10:00 +0000 2018,1.0,0.0,0.0,89
0.4019,Sun Apr 08 20:57:00 +0000 2018,0.87,0.0,0.13,90
0.3612,Sun Apr 08 20:53:05 +0000 2018,0.878,0.0,0.122,91
-0.802,Sun Apr 08 20:52:06 +0000 2018,0.604,0.396,0.0,92
0.0,Sun Apr 08 20:45:31 +0000 2018,1.0,0.0,0.0,93
-0.3612,Sun Apr 08 20:40:00 +0000 2018,0.878,0.122,0.0,94
0.0,Sun Apr 08 20:39:00 +0000 2018,1.0,0.0,0.0,95
0.3612,Sun Apr 08 20:24:52 +0000 2018,0.848,0.0,0.152,96
0.0,Sun Apr 08 20:16:21 +0000 2018,1.0,0.0,0.0,97
-0.7964,Sun Apr 08 20:14:41 +0000 2018,0.664,0.336,0.0,98
0.0,Sun Apr 08 20:10:25 +0000 2018,1.0,0.0,0.0,99
0.5267,Sun Apr 08 20:03:00 +0000 2018,0.841,0.0,0.159,100
